k,switches,hosts,flows,workers,variant,seconds,wall_s,setup_s,packets,peak_rss_mb
8,80,128,320,1,pure,1.612,1.630,0.018,479678,15
8,80,128,320,1,p4,8.472,8.820,0.348,479678,870
8,80,128,320,2,pure,1.294,1.310,0.016,479644,14
8,80,128,320,2,p4,4.849,5.200,0.351,479641,876
8,80,128,320,4,pure,0.981,1.000,0.019,479642,14
8,80,128,320,4,p4,2.970,3.320,0.350,479631,877
8,80,128,320,8,pure,0.828,0.850,0.022,479626,15
8,80,128,320,8,p4,2.807,3.160,0.353,479629,878
8,80,128,320,16,pure,0.805,0.820,0.015,479632,14
8,80,128,320,16,p4,2.998,3.350,0.352,479632,879
16,320,1024,1280,1,pure,11.407,12.320,0.913,1918720,55
16,320,1024,1280,1,p4,56.068,58.220,2.152,1918720,3432
16,320,1024,1280,2,pure,6.394,7.470,1.076,1918581,56
16,320,1024,1280,2,p4,30.171,32.510,2.339,1918602,3455
16,320,1024,1280,4,pure,3.966,5.030,1.064,1918570,56
16,320,1024,1280,4,p4,17.091,19.420,2.329,1918573,3466
16,320,1024,1280,8,pure,2.789,3.860,1.071,1918577,56
16,320,1024,1280,8,p4,12.993,15.310,2.317,1918528,3473
16,320,1024,1280,16,pure,2.297,3.360,1.063,1918546,56
16,320,1024,1280,16,p4,11.210,13.540,2.330,1918538,3477
32,1280,8192,4096,1,pure,26.325,123.690,97.365,2998272,269
32,1280,8192,4096,1,p4,101.552,192.570,91.018,2998272,13422
32,1280,8192,4096,2,pure,14.903,112.520,97.617,2998272,270
32,1280,8192,4096,2,p4,53.065,155.440,102.375,2998272,13469
32,1280,8192,4096,4,pure,10.234,108.200,97.966,2998272,271
32,1280,8192,4096,4,p4,31.486,133.800,102.314,2998272,13551
32,1280,8192,4096,8,pure,7.935,105.900,97.965,2998272,271
32,1280,8192,4096,8,p4,23.711,126.030,102.319,2998272,13577
32,1280,8192,4096,16,pure,6.653,104.410,97.757,2998272,272
32,1280,8192,4096,16,p4,19.552,124.710,105.158,2998272,13591
